title,box_office,metacritic,box_office_url,metacritic_url,box_office_error,metacritic_error,fetched_at
The Invite,,77,https://www.boxofficemojo.com/title/tt14173636/,https://www.metacritic.com/movie/the-invite/,domestic gross not found,,2026-06-12T05:06:16+00:00
Minions & Monsters,,,https://www.boxofficemojo.com/title/tt32890033/,,domestic gross not found,missing Metacritic ID,2026-06-12T05:06:16+00:00
Young Washington,,,https://www.boxofficemojo.com/title/tt32104007/,,domestic gross not found,missing Metacritic ID,2026-06-12T05:06:16+00:00
Moana,,,https://www.boxofficemojo.com/title/tt27419466/,https://www.metacritic.com/movie/moana-2026/,domestic gross not found,Metascore not found,2026-06-12T05:06:16+00:00
Gail Daughtry and the Celebrity Sex Pass,,,https://www.boxofficemojo.com/title/tt36834010/,,domestic gross not found,missing Metacritic ID,2026-06-12T05:06:16+00:00
The Odyssey,,,https://www.boxofficemojo.com/title/tt33764258/,https://www.metacritic.com/movie/the-odyssey-2026/,domestic gross not found,Metascore not found,2026-06-12T05:06:16+00:00
Cut Off,,,https://www.boxofficemojo.com/title/tt36246412/,,domestic gross not found,missing Metacritic ID,2026-06-12T05:06:16+00:00
Evil Dead Burn,,,https://www.boxofficemojo.com/title/tt31170389/,https://www.metacritic.com/movie/evil-dead-burn/,domestic gross not found,Metascore not found,2026-06-12T05:06:16+00:00
Spider-Man: Brand New Day,,,https://www.boxofficemojo.com/title/tt22084616/,https://www.metacritic.com/movie/spider-man-brand-new-day/,domestic gross not found,Metascore not found,2026-06-12T05:06:16+00:00
Fall 2,,,https://www.boxofficemojo.com/title/tt31192372/,,domestic gross not found,missing Metacritic ID,2026-06-12T05:06:16+00:00
Ice Cream Man,,,https://www.boxofficemojo.com/title/tt36893729/,,domestic gross not found,missing Metacritic ID,2026-06-12T05:06:16+00:00
One Night Only,,,https://www.boxofficemojo.com/title/tt37853455/,,domestic gross not found,missing Metacritic ID,2026-06-12T05:06:16+00:00
Super Troopers 3,,,https://www.boxofficemojo.com/title/tt8820258/,,domestic gross not found,missing Metacritic ID,2026-06-12T05:06:16+00:00
The End of Oak Street,,,https://www.boxofficemojo.com/title/tt27165187/,https://www.metacritic.com/movie/the-end-of-oak-street/,domestic gross not found,Metascore not found,2026-06-12T05:06:16+00:00
PAW Patrol: The Dino Movie,,,https://www.boxofficemojo.com/title/tt29356163/,,domestic gross not found,missing Metacritic ID,2026-06-12T05:06:16+00:00
The Rivals of Amziah King,,65,https://www.boxofficemojo.com/title/tt27706593/,https://www.metacritic.com/movie/the-rivals-of-amziah-king/,domestic gross not found,,2026-06-12T05:06:16+00:00
Insidious: Out of the Further,,,https://www.boxofficemojo.com/title/tt32393988/,https://www.metacritic.com/movie/insidious-out-of-the-further/,domestic gross not found,Metascore not found,2026-06-12T05:06:16+00:00
Mutiny,,,https://www.boxofficemojo.com/title/tt32338669/,,domestic gross not found,missing Metacritic ID,2026-06-12T05:06:16+00:00
Spa Weekend,,,https://www.boxofficemojo.com/title/tt33305867/,,domestic gross not found,missing Metacritic ID,2026-06-12T05:06:16+00:00
Cliffhanger,,,https://www.boxofficemojo.com/title/tt1441251/,,domestic gross not found,missing Metacritic ID,2026-06-12T05:06:16+00:00
Coyote vs. Acme,,,https://www.boxofficemojo.com/title/tt1756855/,https://www.metacritic.com/movie/coyote-vs-acme/,domestic gross not found,Metascore not found,2026-06-12T05:06:16+00:00
The Dog Stars,,,https://www.boxofficemojo.com/title/tt21285562/,https://www.metacritic.com/movie/the-dog-stars/,domestic gross not found,Metascore not found,2026-06-12T05:06:16+00:00
Finding Emily,940822,71,https://www.boxofficemojo.com/title/tt32499466/,https://www.metacritic.com/movie/finding-emily/,,,2026-06-12T05:06:16+00:00
Idiots,,67,https://www.boxofficemojo.com/title/tt6628920/,https://www.metacritic.com/movie/idiots/,domestic gross not found,,2026-06-12T05:06:16+00:00
